study_id,icd10_code
NCT00150475,B34.9
NCT06467370,G93.9
NCT06467370,G96.9
NCT06467370,G00-G99.9
NCT06467370,G43
NCT06310356,E70-E90.9
NCT06310356,E34.9
NCT06310356,N00-N99.9
NCT06310356,O24.4
NCT06310356,E10-E14.9
NCT05407038,C00-D48.9
NCT05541055,G00-G99.9
NCT05541055,F99-F99.9
NCT05541055,G47.0
NCT05762263,E70-E90.9
NCT03375853,F99-F99.9
NCT03375853,E66
NCT03375853,R63.2
NCT02135094,G00-G99.9
NCT06520995,E70-E90.9
NCT06520995,E34.9
NCT06520995,E10-E14.9
NCT06520995,E11
NCT06520995,E14.8
NCT03757741,I49.9
NCT03757741,I51.9
NCT03757741,I51.6
NCT04710745,I49.9
NCT04710745,I51.9
NCT04710745,I51.6
NCT04000373,G35
NCT04000373,G00-G99.9
NCT06430346,C00-D48.9
NCT06430346,K00-K93.9
NCT06430346,K22.9
NCT06290258,F99-F99.9
NCT06290258,K00-K93.9
NCT06290258,F84.0
NCT05397340,G93.9
NCT05397340,G96.9
NCT05397340,G00-G99.9
NCT05397340,G31.9
NCT05397340,G20
NCT05349188,G00-G99.9
NCT05349188,F99-F99.9
NCT05312255,C00-D48.9
NCT05312255,I51.6
NCT05312255,D75.9
NCT05312255,D69.9
NCT05312255,C90.0
NCT05012176,C00-D48.9
NCT05012176,N60-N64.9
NCT05012176,D09.9
NCT05012176,D05.1
NCT05012176,D05
NCT06422325,E10-E14.9
NCT06422325,E70-E90.9
NCT06422325,E34.9
NCT06422325,E10
NCT01726621,E70-E90.9
NCT01726621,E34.9
NCT01726621,E10-E14.9
NCT06814743,N00-N99.9
NCT06815302,G93.9
NCT06815302,G96.9
NCT06815302,G00-G99.9
NCT06815302,G31.9
NCT06815302,G20
NCT04467385,G00-G99.9
NCT04467385,G93.9
NCT04467385,G96.9
NCT04467385,M60-M63.9
NCT06696469,I67.9
NCT06696469,G93.9
NCT06696469,G96.9
NCT06696469,G00-G99.9
NCT06696469,I51.6
NCT06696469,I64
NCT01815788,H90.5
NCT01815788,H91.9
NCT01815788,H93.9
NCT01815788,G00-G99.9
NCT01815788,H91.1
NCT06743425,F99-F99.9
NCT06743425,G00-G99.9
NCT06743425,F90
NCT06747468,E70-E90.9
NCT06747468,E16.2
NCT04633603,A49.9
NCT04633603,B34.9
NCT04633603,R50.9
NCT04155957,M13.9
NCT04155957,M00-M25.9
NCT04155957,M79.0
NCT01431417,M00-M25.9
NCT06334250,I49.9
NCT06334250,I51.9
NCT06334250,I51.6
NCT04889352,K63.5
NCT04064437,E70-E90.9
NCT04064437,E34.9
NCT04064437,E10-E14.9
NCT04064437,E10
NCT02552888,N39.9
NCT02552888,N00-N99.9
NCT05746507,F99-F99.9
NCT05746507,G00-G99.9
NCT06626568,M00-M25.9
NCT02855307,E70-E90.9
NCT02855307,E34.9
NCT02855307,E10-E14.9
NCT02855307,E10
NCT03325244,G00-G99.9
NCT03325244,F99-F99.9
NCT03325244,G47.2
NCT06181110,F99-F99.9
NCT06181110,G00-G99.9
NCT06181110,G47.2
NCT04473729,G00-G99.9
NCT04473729,F99-F99.9
NCT05165017,J00-J99.9
NCT05165017,G00-G99.9
NCT05165017,F99-F99.9
NCT05165017,R06.4
NCT05016154,F39
NCT05016154,F99-F99.9
NCT05016154,F41.9
NCT05998460,E10-E14.9
NCT05998460,E70-E90.9
NCT05998460,E34.9
NCT04562220,I67.9
NCT04562220,G93.9
NCT04562220,G96.9
NCT04562220,G00-G99.9
NCT04562220,I51.6
NCT04562220,I64
NCT04748302,G00-G99.9
NCT04748302,R73.9
NCT04748302,E70-E90.9
NCT04748302,G35
NCT00846872,E70-E90.9
NCT05521854,F99-F99.9
NCT03050528,R52.9
NCT06090916,C00-D48.9
NCT06090916,K00-K93.9
NCT06090916,K86.9
NCT06090916,E34.9
NCT06090916,E40-E46.9
NCT01841398,E66
NCT01841398,I51.6
NCT00538954,C00-D48.9
NCT04318249,C00-D48.9
NCT04318249,G00-G99.9
NCT04318249,F99-F99.9
NCT04318249,G47.0
NCT06805539,E66
NCT06813638,R52.9
NCT06814379,J12.9
NCT06814379,J18.9
NCT06814379,B34.9
NCT06814379,B34.2
NCT05940766,C00-D48.9
NCT05940766,R50.9
NCT03406728,G93.9
NCT03406728,G96.9
NCT03406728,G00-G99.9
NCT03406728,G31.9
NCT03406728,G20
NCT06814275,D84.9
NCT06814275,A50-A64.9
NCT06814275,B34.9
NCT06814275,N00-N99.9
NCT06814275,B24
NCT03604536,K00-K93.9
NCT03604536,K63.9
NCT03604536,K51
NCT05243667,T78.4
NCT05243667,J45
NCT03763058,G93.9
NCT03763058,G96.9
NCT03763058,G00-G99.9
NCT03763058,R52.9
NCT03763058,G43
NCT03763058,R51
NCT04156763,G52.9
NCT04156763,G00-G99.9
NCT04156763,H44
NCT04156763,H50.9
NCT04063774,B34.9
NCT04063774,A99
NCT04063774,A90
NCT04318275,N00-N99.9
NCT04318275,N80
NCT04632628,G93.9
NCT04632628,G96.9
NCT04632628,G00-G99.9
NCT04632628,F99-F99.9
NCT04632628,F03
NCT04632628,G47.0
NCT03613805,E10-E14.9
NCT03613805,E70-E90.9
NCT03613805,E34.9
NCT03613805,E10
NCT04414579,E10-E14.9
NCT04414579,E70-E90.9
NCT04414579,E34.9
NCT04414579,E10
NCT04445129,G47.1
NCT04445129,G00-G99.9
NCT04445129,F99-F99.9
NCT03576430,E70-E90.9
NCT03576430,E34.9
NCT03576430,E10-E14.9
NCT03576430,E11
NCT05743686,C00-D48.9
NCT05743686,N60-N64.9
NCT02038959,G93.9
NCT02038959,G96.9
NCT02038959,G00-G99.9
NCT02038959,G31.9
NCT02038959,G20
NCT04890535,A31.9
NCT04890535,A49.9
NCT04890535,A15-A19.9
NCT02080533,I51.6
NCT02080533,I10-I15.9
NCT04737915,F99-F99.9
NCT04737915,F41.9
NCT05641662,I51.9
NCT05641662,I50
NCT05641662,I51.6
NCT05762120,E70-E90.9
NCT05762120,E34.9
NCT05762120,E10-E14.9
NCT05762120,E11
NCT00013182,F03
NCT00013182,G93.9
NCT00013182,G96.9
NCT00013182,G00-G99.9
NCT00013182,G31.9
NCT00013182,F99-F99.9
NCT00013182,G30
NCT04581031,J12.9
NCT04581031,J18.9
NCT04581031,B34.9
NCT04581031,B34.2
NCT02700074,F99-F99.9
NCT02700074,F84.0
NCT00323635,N39.9
NCT00323635,N00-N99.9
NCT00323635,F99-F99.9
NCT00323635,R32
NCT06309615,C00-D48.9
NCT06309615,N60-N64.9
NCT05849792,F39
NCT05849792,F99-F99.9
NCT06344988,M60-M63.9
NCT06344988,R52.9
NCT03011294,J00-J99.9
NCT03011294,G00-G99.9
NCT03011294,G47.3
NCT05645224,R52.9
NCT01968837,C00-D48.9
NCT01968837,N00-N99.9
NCT05764200,E70-E90.9
NCT05764200,T78.4
NCT06125873,E70-E90.9
NCT06125873,E34.9
NCT06125873,E10-E14.9
NCT06125873,E11
NCT06774287,G93.9
NCT06774287,G96.9
NCT06774287,G00-G99.9
NCT06774287,S00-S09.9
NCT05412966,F99-F99.9
NCT05422235,E10-E14.9
NCT05422235,E70-E90.9
NCT05422235,E34.9
NCT05422235,G70.9
NCT05422235,G00-G99.9
NCT05422235,I51.6
NCT05422235,E14.8
NCT05422235,E11
NCT05417490,I51.9
NCT05417490,I51.6
NCT05417490,I50
NCT05555186,F99-F99.9
NCT05555186,G00-G99.9
NCT04188769,I67.9
NCT04188769,G93.9
NCT04188769,G96.9
NCT04188769,G00-G99.9
NCT04188769,I51.6
NCT04188769,I64
NCT05940870,G93.9
NCT05940870,G96.9
NCT05940870,G00-G99.9
NCT05940870,G43
NCT04288011,G00-G99.9
NCT04288011,G35
NCT04167488,M00-M25.9
NCT04167488,M79.0
NCT04167488,M13.9
NCT04167488,M08
NCT03680482,E10-E14.9
NCT03680482,E70-E90.9
NCT03680482,E34.9
NCT03680482,E11
NCT05371483,G00-G99.9
NCT05371483,F99-F99.9
NCT05371483,G47.1
NCT02638961,I51.9
NCT02638961,I51.6
NCT02638961,I50
NCT06695247,I51.6
NCT06695247,I26
NCT04950517,F99-F99.9
NCT04950517,F84.0
NCT04745325,Z72.1
NCT02503566,I51.6
NCT03967106,G00-G99.9
NCT03967106,G35
NCT06542627,E70-E90.9
NCT06542627,E34.9
NCT06542627,R73.9
NCT06542627,E10-E14.9
NCT06542627,E11
NCT04518319,F99-F99.9
